Date,Reference,Amount
1 Jan 2023,UC000000070,489.41
1 Jan 2023,UC000000071,374.31
1 Jan 2023,UC000000072,110.28
1 Jan 2023,UC000000073,175.58
1 Jan 2023,UC000000074,557
1 Jan 2023,UC000000075,418.41
1 Jan 2023,UC000000076,55.16
1 Jan 2023,UC000000077,697.03
1 Jan 2023,UC000000078,268.75
1 Jan 2023,UC000000079,290.63
1 Jan 2023,UC000000080,681.89
1 Jan 2023,UC000000081,431.63
1 Jan 2023,UC000000082,673.11
1 Jan 2023,UC000000083,218.22
1 Jan 2023,UC000000084,35.41
1 Jan 2023,UC000000085,92.62
1 Jan 2023,UC000000086,738.66
1 Jan 2023,UC000000087,388.44
1 Jan 2023,UC000000088,395.64
1 Jan 2023,UC000000089,104.28
1 Jan 2023,UC000000090,243.63
1 Jan 2023,UC000000091,149.36
1 Jan 2023,UC000000092,249.06
1 Jan 2023,UC000000093,477.77
1 Jan 2023,UC000000094,179.11
1 Jan 2023,UC000000095,802.38
1 Jan 2023,UC000000096,510.23
1 Jan 2023,UC000000097,458.57
1 Jan 2023,UC000000098,969.02
1 Jan 2023,UC000000099,830.26
2 Jan 2023,UC000000100,900.68
2 Jan 2023,UC000000101,764.03
2 Jan 2023,UC000000102,527.31
2 Jan 2023,UC000000103,853.04
2 Jan 2023,UC000000104,110.24
2 Jan 2023,UC000000105,572.51
2 Jan 2023,UC000000106,986.87
2 Jan 2023,UC000000107,102.27
2 Jan 2023,UC000000108,12.34
2 Jan 2023,UC000000109,872.58
2 Jan 2023,UC000000110,548.28
2 Jan 2023,UC000000111,245.21
2 Jan 2023,UC000000112,743.91
2 Jan 2023,UC000000113,859.53
2 Jan 2023,UC000000114,942.01
2 Jan 2023,UC000000115,563.29
2 Jan 2023,UC000000116,739.73
2 Jan 2023,UC000000117,540.23
2 Jan 2023,UC000000118,482.81
2 Jan 2023,UC000000119,651.94
2 Jan 2023,UC000000120,452.87
2 Jan 2023,UC000000121,299.52
2 Jan 2023,UC000000122,646.37
2 Jan 2023,UC000000123,365.67
2 Jan 2023,UC000000124,427.64
2 Jan 2023,UC000000125,497.62
2 Jan 2023,UC000000126,664.83
2 Jan 2023,UC000000127,167.54
2 Jan 2023,UC000000128,623.88
2 Jan 2023,UC000000129,777.84
2 Jan 2023,UC000000130,948
2 Jan 2023,UC000000131,682.17
2 Jan 2023,UC000000132,614.73
2 Jan 2023,UC000000133,204.41
2 Jan 2023,UC000000134,359.74
2 Jan 2023,UC000000135,891.08
2 Jan 2023,UC000000136,138.3
2 Jan 2023,UC000000137,408.89
2 Jan 2023,UC000000138,432.77
2 Jan 2023,UC000000139,573.7
2 Jan 2023,UC000000140,100.8
2 Jan 2023,UC000000141,878.83
2 Jan 2023,UC000000142,819.52
2 Jan 2023,UC000000143,265.97
2 Jan 2023,UC000000144,486.73
2 Jan 2023,UC000000145,484.44
2 Jan 2023,UC000000146,655.03
2 Jan 2023,UC000000147,219.21
2 Jan 2023,UC000000148,845.24
2 Jan 2023,UC000000149,924.31
2 Jan 2023,UC000000150,806.29
2 Jan 2023,UC000000151,324.9
2 Jan 2023,UC000000152,80.78
2 Jan 2023,UC000000153,231.46
2 Jan 2023,UC000000154,846.65
2 Jan 2023,UC000000155,308.34
2 Jan 2023,UC000000156,759.51
2 Jan 2023,UC000000157,481.64
2 Jan 2023,UC000000158,507.19
2 Jan 2023,UC000000159,212.17
2 Jan 2023,UC000000160,175.75
2 Jan 2023,UC000000161,630.49
2 Jan 2023,UC000000162,938.19
2 Jan 2023,UC000000163,323.88
2 Jan 2023,UC000000164,823.71
2 Jan 2023,UC000000165,335.32
2 Jan 2023,UC000000166,576.33
2 Jan 2023,UC000000167,433.28
2 Jan 2023,UC000000168,562.86
2 Jan 2023,UC000000169,101.99
2 Jan 2023,UC000000170,542.31
2 Jan 2023,UC000000171,393.93
2 Jan 2023,UC000000172,241.62
2 Jan 2023,UC000000173,726.89
2 Jan 2023,UC000000174,20.65
2 Jan 2023,UC000000175,821.21
2 Jan 2023,UC000000176,928.05
2 Jan 2023,UC000000177,765.26
2 Jan 2023,UC000000178,682.37
2 Jan 2023,UC000000179,387.76
2 Jan 2023,UC000000180,538.59
2 Jan 2023,UC000000181,378.95
2 Jan 2023,UC000000182,106.39
2 Jan 2023,UC000000183,551.36
2 Jan 2023,UC000000184,704.51
2 Jan 2023,UC000000185,161.87
2 Jan 2023,UC000000186,554.11
2 Jan 2023,UC000000187,333.99
2 Jan 2023,UC000000188,718.4
2 Jan 2023,UC000000189,146.02
2 Jan 2023,UC000000190,534.81
2 Jan 2023,UC000000191,808.75
2 Jan 2023,UC000000192,328.87
2 Jan 2023,UC000000193,436.91
2 Jan 2023,UC000000194,248.68
2 Jan 2023,UC000000195,346.56
2 Jan 2023,UC000000196,40.19
2 Jan 2023,UC000000197,327.22
2 Jan 2023,UC000000198,757.6
2 Jan 2023,UC000000199,343.43
3 Jan 2023,UC000000200,108.96
3 Jan 2023,UC000000201,90.12
3 Jan 2023,UC000000202,815.4
3 Jan 2023,UC000000203,339.32
3 Jan 2023,UC000000204,59.07
3 Jan 2023,UC000000205,6.49
3 Jan 2023,UC000000206,932.04
3 Jan 2023,UC000000207,266.9
3 Jan 2023,UC000000208,216.47
3 Jan 2023,UC000000209,197.84
3 Jan 2023,UC000000210,437.99
3 Jan 2023,UC000000211,649.28
3 Jan 2023,UC000000212,454.37
3 Jan 2023,UC000000213,746.09
3 Jan 2023,UC000000214,299.36
3 Jan 2023,UC000000215,684.31
3 Jan 2023,UC000000216,175.29
3 Jan 2023,UC000000217,107.59
3 Jan 2023,UC000000218,732.92
3 Jan 2023,UC000000219,606.2
3 Jan 2023,UC000000220,456.04
3 Jan 2023,UC000000221,942.23
3 Jan 2023,UC000000222,229.89
3 Jan 2023,UC000000223,969.54
3 Jan 2023,UC000000224,827.8
3 Jan 2023,UC000000225,602.56
3 Jan 2023,UC000000226,509.64
3 Jan 2023,UC000000227,538.19
3 Jan 2023,UC000000228,663.14
3 Jan 2023,UC000000229,538.91
3 Jan 2023,UC000000230,547.85
3 Jan 2023,UC000000231,9.72
3 Jan 2023,UC000000232,389.51
3 Jan 2023,UC000000233,908.64
3 Jan 2023,UC000000234,549.2
3 Jan 2023,UC000000235,608.2
3 Jan 2023,UC000000236,245.37
3 Jan 2023,UC000000237,451.18
3 Jan 2023,UC000000238,87.34
3 Jan 2023,UC000000239,851.32
3 Jan 2023,UC000000240,227.99
3 Jan 2023,UC000000241,795.87
3 Jan 2023,UC000000242,895.15
3 Jan 2023,UC000000243,254.29
3 Jan 2023,UC000000244,695.7
3 Jan 2023,UC000000245,493.92
3 Jan 2023,UC000000246,358.89
3 Jan 2023,UC000000247,569.63
3 Jan 2023,UC000000248,225.62
3 Jan 2023,UC000000249,986.54
3 Jan 2023,UC000000250,348.79
3 Jan 2023,UC000000251,427.64
3 Jan 2023,UC000000252,233.8
3 Jan 2023,UC000000253,823.28
3 Jan 2023,UC000000254,116.36
3 Jan 2023,UC000000255,790.99
3 Jan 2023,UC000000256,588.56
3 Jan 2023,UC000000257,276.43
3 Jan 2023,UC000000258,230.68
3 Jan 2023,UC000000259,561.82
3 Jan 2023,UC000000260,527.35
3 Jan 2023,UC000000261,155.63
3 Jan 2023,UC000000262,229.06
3 Jan 2023,UC000000263,214.99
3 Jan 2023,UC000000264,309.44
3 Jan 2023,UC000000265,711.69
3 Jan 2023,UC000000266,766.23
3 Jan 2023,UC000000267,785.63
3 Jan 2023,UC000000268,282.62
3 Jan 2023,UC000000269,943.15
3 Jan 2023,UC000000270,466.16
3 Jan 2023,UC000000271,400.86
3 Jan 2023,UC000000272,945.78
3 Jan 2023,UC000000273,604.25
3 Jan 2023,UC000000274,856.22
3 Jan 2023,UC000000275,579.86
3 Jan 2023,UC000000276,205.51
3 Jan 2023,UC000000277,453.56
3 Jan 2023,UC000000278,783.88
3 Jan 2023,UC000000279,233.43
3 Jan 2023,UC000000280,906.89
3 Jan 2023,UC000000281,447.44
3 Jan 2023,UC000000282,942.85
3 Jan 2023,UC000000283,113.3
3 Jan 2023,UC000000284,561.57
3 Jan 2023,UC000000285,709.71
3 Jan 2023,UC000000286,798.56
3 Jan 2023,UC000000287,734.41
3 Jan 2023,UC000000288,903.48
3 Jan 2023,UC000000289,731.51
3 Jan 2023,UC000000290,241.33
3 Jan 2023,UC000000291,867.1
3 Jan 2023,UC000000292,679.43
3 Jan 2023,UC000000293,173.48
3 Jan 2023,UC000000294,537.5
3 Jan 2023,UC000000295,364.71
3 Jan 2023,UC000000296,743.41
3 Jan 2023,UC000000297,790.82
3 Jan 2023,UC000000298,299.72
3 Jan 2023,UC000000299,662.59
4 Jan 2023,UC000000300,529.46
4 Jan 2023,UC000000301,185.78
4 Jan 2023,UC000000302,83.8
4 Jan 2023,UC000000303,126.13
4 Jan 2023,UC000000304,632.13
4 Jan 2023,UC000000306,926.99
4 Jan 2023,UC000000307,108.59
4 Jan 2023,UC000000308,231.51
4 Jan 2023,UC000000309,707.23
4 Jan 2023,UC000000310,180.77
4 Jan 2023,UC000000311,273.33
4 Jan 2023,UC000000312,431.46
4 Jan 2023,UC000000313,568.75
4 Jan 2023,UC000000314,255.26
4 Jan 2023,UC000000315,379.79
4 Jan 2023,UC000000316,407.44
4 Jan 2023,UC000000317,104.37
4 Jan 2023,UC000000318,525.05
4 Jan 2023,UC000000319,14.2
4 Jan 2023,UC000000320,230.48
4 Jan 2023,UC000000321,264.15
4 Jan 2023,UC000000322,979.82
4 Jan 2023,UC000000323,269.61
4 Jan 2023,UC000000324,441.91
4 Jan 2023,UC000000325,155.09
4 Jan 2023,UC000000326,504.34
4 Jan 2023,UC000000327,86.62
4 Jan 2023,UC000000328,157.51
4 Jan 2023,UC000000329,170.27
4 Jan 2023,UC000000330,711.13
4 Jan 2023,UC000000331,726.68
4 Jan 2023,UC000000332,557.82
4 Jan 2023,UC000000333,907.61
4 Jan 2023,UC000000334,664.68
4 Jan 2023,UC000000335,475.37
4 Jan 2023,UC000000336,995.15
4 Jan 2023,UC000000337,28.56
4 Jan 2023,UC000000338,511.49
4 Jan 2023,UC000000339,345.25
4 Jan 2023,UC000000340,376.66
4 Jan 2023,UC000000341,579.53
4 Jan 2023,UC000000342,808.86
4 Jan 2023,UC000000343,669.26
4 Jan 2023,UC000000344,985.75
4 Jan 2023,UC000000345,962.56
4 Jan 2023,UC000000346,401.14
4 Jan 2023,UC000000347,990.12
4 Jan 2023,UC000000348,797.16
4 Jan 2023,UC000000349,441.87
4 Jan 2023,UC000000350,303.81
4 Jan 2023,UC000000351,120.36
4 Jan 2023,UC000000352,121.89
4 Jan 2023,UC000000353,398.13
4 Jan 2023,UC000000354,579.27
4 Jan 2023,UC000000355,382.64
4 Jan 2023,UC000000356,504.8
4 Jan 2023,UC000000357,242.82
4 Jan 2023,UC000000358,439.4
4 Jan 2023,UC000000359,251.64
4 Jan 2023,UC000000360,766.04
4 Jan 2023,UC000000361,78.07
4 Jan 2023,UC000000362,290.3
4 Jan 2023,UC000000363,456.2
4 Jan 2023,UC000000364,843.23
4 Jan 2023,UC000000365,711.4
4 Jan 2023,UC000000366,765.74
4 Jan 2023,UC000000367,21.19
4 Jan 2023,UC000000368,271.29
4 Jan 2023,UC000000369,809.36
4 Jan 2023,UC000000370,833.54
4 Jan 2023,UC000000371,368.53
4 Jan 2023,UC000000372,236.32
4 Jan 2023,UC000000373,346.3
4 Jan 2023,UC000000374,750.93
4 Jan 2023,UC000000375,218.47
4 Jan 2023,UC000000376,429.52
4 Jan 2023,UC000000377,824.85
4 Jan 2023,UC000000378,799.68
4 Jan 2023,UC000000379,853.23
4 Jan 2023,UC000000380,204.64
4 Jan 2023,UC000000381,934.45
4 Jan 2023,UC000000382,804.56
4 Jan 2023,UC000000383,770.53
4 Jan 2023,UC000000384,806.73
4 Jan 2023,UC000000385,542.89
4 Jan 2023,UC000000386,963.59
4 Jan 2023,UC000000387,299.39
4 Jan 2023,UC000000388,686.64
4 Jan 2023,UC000000389,461.11
4 Jan 2023,UC000000390,202.47
4 Jan 2023,UC000000391,776.36
4 Jan 2023,UC000000392,152.24
4 Jan 2023,UC000000393,485.72
4 Jan 2023,UC000000394,883.35
4 Jan 2023,UC000000395,310.32
4 Jan 2023,UC000000396,991.19
4 Jan 2023,UC000000397,678.72
4 Jan 2023,UC000000398,404.77
4 Jan 2023,UC000000399,531.56
4 Jan 2023,UC000000400,913.26
5 Jan 2023,UC000000401,363.35
5 Jan 2023,UC000000402,899.19
5 Jan 2023,UC000000403,327.44
5 Jan 2023,UC000000404,844.66
5 Jan 2023,UC000000405,607.53
5 Jan 2023,UC000000406,471.94
5 Jan 2023,UC000000407,493.61
5 Jan 2023,UC000000408,661.49
5 Jan 2023,UC000000409,514.09
5 Jan 2023,UC000000410,178.63
5 Jan 2023,UC000000411,582.97
5 Jan 2023,UC000000412,579.4
5 Jan 2023,UC000000413,626.17
5 Jan 2023,UC000000414,912.51
5 Jan 2023,UC000000415,335.18
5 Jan 2023,UC000000416,920.14
5 Jan 2023,UC000000417,315.05
5 Jan 2023,UC000000418,272.59
5 Jan 2023,UC000000419,405.03
5 Jan 2023,UC000000420,725.67
5 Jan 2023,UC000000421,802.25
5 Jan 2023,UC000000422,843.85
5 Jan 2023,UC000000423,523.11
5 Jan 2023,UC000000424,673.85
5 Jan 2023,UC000000425,217.82
5 Jan 2023,UC000000427,631.79
5 Jan 2023,UC000000428,122.78
5 Jan 2023,UC000000429,945.04
5 Jan 2023,UC000000430,104.81
5 Jan 2023,UC000000431,894.28
5 Jan 2023,UC000000432,834.67
5 Jan 2023,UC000000433,641.2
5 Jan 2023,UC000000434,179.22
5 Jan 2023,UC000000435,602.8
5 Jan 2023,UC000000436,724.34
5 Jan 2023,UC000000438,181.16
5 Jan 2023,UC000000439,853.83
5 Jan 2023,UC000000440,911.55
5 Jan 2023,UC000000441,249.55
5 Jan 2023,UC000000442,555.14
5 Jan 2023,UC000000443,83.01
5 Jan 2023,UC000000444,939.3
5 Jan 2023,UC000000445,562.61
5 Jan 2023,UC000000446,498.22
5 Jan 2023,UC000000447,139.17
5 Jan 2023,UC000000448,743.61
5 Jan 2023,UC000000449,988.44
5 Jan 2023,UC000000450,784.83
5 Jan 2023,UC000000451,363.62
5 Jan 2023,UC000000452,717.04
5 Jan 2023,UC000000453,589.87
5 Jan 2023,UC000000454,238.39
5 Jan 2023,UC000000455,138.32
5 Jan 2023,UC000000456,842.16
5 Jan 2023,UC000000457,787.85
5 Jan 2023,UC000000458,380.9
5 Jan 2023,UC000000459,418.89
5 Jan 2023,UC000000460,377.96
5 Jan 2023,UC000000461,460.76
5 Jan 2023,UC000000462,744.22
5 Jan 2023,UC000000463,985.31
5 Jan 2023,UC000000464,306.98
5 Jan 2023,UC000000465,478.99
5 Jan 2023,UC000000466,346.34
5 Jan 2023,UC000000467,294.76
5 Jan 2023,UC000000468,451.41
5 Jan 2023,UC000000469,716.2
5 Jan 2023,UC000000470,1.72
5 Jan 2023,UC000000471,622.08
5 Jan 2023,UC000000472,574.13
5 Jan 2023,UC000000473,16.6
5 Jan 2023,UC000000474,804.59
5 Jan 2023,UC000000475,374.78
5 Jan 2023,UC000000476,306.3
5 Jan 2023,UC000000477,823.6
5 Jan 2023,UC000000478,91.16
5 Jan 2023,UC000000479,249.05
5 Jan 2023,UC000000480,585.33
5 Jan 2023,UC000000481,431.54
5 Jan 2023,UC000000482,542.93
5 Jan 2023,UC000000483,266.42
5 Jan 2023,UC000000484,336.73
5 Jan 2023,UC000000485,642.43
5 Jan 2023,UC000000486,192.35
5 Jan 2023,UC000000487,735.09
5 Jan 2023,UC000000488,839.01
5 Jan 2023,UC000000489,705.68
5 Jan 2023,UC000000490,306.73
5 Jan 2023,UC000000491,50.09
5 Jan 2023,UC000000492,188.11
5 Jan 2023,UC000000493,257
5 Jan 2023,UC000000494,639.69
5 Jan 2023,UC000000495,765.1
5 Jan 2023,UC000000496,820.34
5 Jan 2023,UC000000497,462.55
5 Jan 2023,UC000000498,874.12
5 Jan 2023,UC000000499,41.33
5 Jan 2023,UC000000500,22.32
6 Jan 2023,UC000000501,818.99
6 Jan 2023,UC000000502,966.38
6 Jan 2023,UC000000503,149
6 Jan 2023,UC000000504,318.05
6 Jan 2023,UC000000505,77.17
6 Jan 2023,UC000000506,331.91
6 Jan 2023,UC000000507,690.24
6 Jan 2023,UC000000508,526.06
6 Jan 2023,UC000000509,841.37
6 Jan 2023,UC000000510,215.02
6 Jan 2023,UC000000511,600.33
6 Jan 2023,UC000000512,690.17
6 Jan 2023,UC000000513,209.01
6 Jan 2023,UC000000514,883.28
6 Jan 2023,UC000000515,370.6
6 Jan 2023,UC000000516,699.89
6 Jan 2023,UC000000517,511.23
6 Jan 2023,UC000000518,575.72
6 Jan 2023,UC000000519,178.65
6 Jan 2023,UC000000520,50.55
6 Jan 2023,UC000000521,735.12
6 Jan 2023,UC000000522,914.06
6 Jan 2023,UC000000530,898.01
6 Jan 2023,UC000000531,938.01
6 Jan 2023,UC000000532,762.3
6 Jan 2023,UC000000533,67.36
6 Jan 2023,UC000000534,562.61
6 Jan 2023,UC000000535,442.55
6 Jan 2023,UC000000536,600.7
6 Jan 2023,UC000000537,60.29
6 Jan 2023,UC000000538,26.54
6 Jan 2023,UC000000539,922.23
6 Jan 2023,UC000000540,353.98
6 Jan 2023,UC000000541,328.69
6 Jan 2023,UC000000542,229.03
6 Jan 2023,UC000000543,207.16
6 Jan 2023,UC000000544,330.98
6 Jan 2023,UC000000545,691.79
6 Jan 2023,UC000000546,937.06
6 Jan 2023,UC000000547,67.77
6 Jan 2023,UC000000548,526.21
6 Jan 2023,UC000000549,889.17
6 Jan 2023,UC000000550,138.84
6 Jan 2023,UC000000551,897.54
6 Jan 2023,UC000000552,630.17
6 Jan 2023,UC000000553,179.53
6 Jan 2023,UC000000554,535.55
6 Jan 2023,UC000000555,568.83
6 Jan 2023,UC000000556,322.19
6 Jan 2023,UC000000557,628.56
6 Jan 2023,UC000000558,190.72
6 Jan 2023,UC000000559,946.54
6 Jan 2023,UC000000560,134.9
6 Jan 2023,UC000000561,180.49
6 Jan 2023,UC000000562,885.7
6 Jan 2023,UC000000563,967.37
6 Jan 2023,UC000000564,835.04
6 Jan 2023,UC000000565,76.17
6 Jan 2023,UC000000566,527.54
6 Jan 2023,UC000000567,704.06
6 Jan 2023,UC000000568,637.12
6 Jan 2023,UC000000569,200.57
6 Jan 2023,UC000000570,414.92
6 Jan 2023,UC000000571,749.28
6 Jan 2023,UC000000572,247.35
6 Jan 2023,UC000000573,697.32
6 Jan 2023,UC000000574,916.8
6 Jan 2023,UC000000575,442.46
6 Jan 2023,UC000000576,339.02
6 Jan 2023,UC000000577,35.86
6 Jan 2023,UC000000578,999.66
6 Jan 2023,UC000000579,130.05
6 Jan 2023,UC000000580,583.84
6 Jan 2023,UC000000581,283.42
6 Jan 2023,UC000000582,849.02
6 Jan 2023,UC000000583,778.62
6 Jan 2023,UC000000584,510.44
6 Jan 2023,UC000000585,215.52
6 Jan 2023,UC000000586,995.82
6 Jan 2023,UC000000587,399.39
6 Jan 2023,UC000000588,969.8
6 Jan 2023,UC000000589,602.37
6 Jan 2023,UC000000590,386.09
6 Jan 2023,UC000000591,406.82
6 Jan 2023,UC000000592,406.45
6 Jan 2023,UC000000593,239.93
6 Jan 2023,UC000000594,441.96
6 Jan 2023,UC000000595,590.04
6 Jan 2023,UC000000596,941.47
6 Jan 2023,UC000000597,766.38
6 Jan 2023,UC000000598,701.91
6 Jan 2023,UC000000599,347.41
7 Jan 2023,UC000000600,700.85
7 Jan 2023,UC000000601,135.73
7 Jan 2023,UC000000602,897.84
7 Jan 2023,UC000000603,628.86
7 Jan 2023,UC000000604,58.57
7 Jan 2023,UC000000605,582.19
7 Jan 2023,UC000000606,272.22
7 Jan 2023,UC000000607,963.09
7 Jan 2023,UC000000608,413.21
7 Jan 2023,UC000000609,136.79
7 Jan 2023,UC000000610,78.11
7 Jan 2023,UC000000611,24.93
7 Jan 2023,UC000000612,833.88
7 Jan 2023,UC000000613,581.99
7 Jan 2023,UC000000614,351.78
7 Jan 2023,UC000000615,245.16
7 Jan 2023,UC000000616,310.44
7 Jan 2023,UC000000617,134.77
7 Jan 2023,UC000000618,625.59
7 Jan 2023,UC000000619,682.29
7 Jan 2023,UC000000620,312.94
7 Jan 2023,UC000000621,905.83
7 Jan 2023,UC000000622,745.19
7 Jan 2023,UC000000623,113.63
7 Jan 2023,UC000000624,148.8
7 Jan 2023,UC000000625,873.72
7 Jan 2023,UC000000626,288.32
7 Jan 2023,UC000000627,575.94
7 Jan 2023,UC000000628,246.95
7 Jan 2023,UC000000629,756.13
7 Jan 2023,UC000000630,811.18
7 Jan 2023,UC000000631,25.16
7 Jan 2023,UC000000632,429.32
7 Jan 2023,UC000000633,499.15
7 Jan 2023,UC000000634,296.02
7 Jan 2023,UC000000635,456.54
7 Jan 2023,UC000000636,292.87
7 Jan 2023,UC000000637,512.03
7 Jan 2023,UC000000638,307.98
7 Jan 2023,UC000000639,65.24
7 Jan 2023,UC000000640,160.03
7 Jan 2023,UC000000641,445.69
7 Jan 2023,UC000000642,130.62
7 Jan 2023,UC000000643,792.56
7 Jan 2023,UC000000644,902.83
7 Jan 2023,UC000000645,824.16
7 Jan 2023,UC000000646,683.06
7 Jan 2023,UC000000647,136.01
7 Jan 2023,UC000000648,340.95
7 Jan 2023,UC000000649,900.11
7 Jan 2023,UC000000650,49.37
7 Jan 2023,UC000000651,784.27
7 Jan 2023,UC000000652,920.75
7 Jan 2023,UC000000653,184.47
7 Jan 2023,UC000000654,690.03
7 Jan 2023,UC000000655,804.68
7 Jan 2023,UC000000656,186.17
7 Jan 2023,UC000000657,309.97
7 Jan 2023,UC000000658,317.81
7 Jan 2023,UC000000659,241.34
7 Jan 2023,UC000000660,36.29
7 Jan 2023,UC000000661,725.28
7 Jan 2023,UC000000662,750.95
7 Jan 2023,UC000000663,361.39
7 Jan 2023,UC000000664,197.93
7 Jan 2023,UC000000665,477.01
7 Jan 2023,UC000000666,544.52
7 Jan 2023,UC000000667,900.16
7 Jan 2023,UC000000668,513.02
7 Jan 2023,UC000000669,684.61
7 Jan 2023,UC000000670,382.53
7 Jan 2023,UC000000671,504.23
7 Jan 2023,UC000000672,613.22
7 Jan 2023,UC000000673,207.97
7 Jan 2023,UC000000674,608.09
7 Jan 2023,UC000000675,507.73
7 Jan 2023,UC000000676,75.88
7 Jan 2023,UC000000677,466.83
7 Jan 2023,UC000000678,58.42
7 Jan 2023,UC000000679,640
7 Jan 2023,UC000000680,890.3
7 Jan 2023,UC000000681,845.6
7 Jan 2023,UC000000682,601.57
7 Jan 2023,UC000000683,866.77
7 Jan 2023,UC000000684,320.49
7 Jan 2023,UC000000685,699.82
7 Jan 2023,UC000000686,39.57
7 Jan 2023,UC000000687,311.07
7 Jan 2023,UC000000688,491.86
7 Jan 2023,UC000000689,743.33
7 Jan 2023,UC000000690,965.89
7 Jan 2023,UC000000691,339.58
7 Jan 2023,UC000000692,124.84
7 Jan 2023,UC000000693,683.74
7 Jan 2023,UC000000694,519.49
7 Jan 2023,UC000000695,64.48
7 Jan 2023,UC000000696,632.57
7 Jan 2023,UC000000697,526.82
7 Jan 2023,UC000000698,365.42
7 Jan 2023,UC000000699,437.17
7 Jan 2023,UC000000700,545.2
